id,description,description_cleaned,source,page
Nepal_Polytechnic_Civil_p97_l10,concrete blocks 1:3:6 (1 cement:3 coarse sand :6graded stone aggregate 20 mmnominal size) as per standard design,concrete blocks 1 3 6 1 cement 3 coarse sand 6graded stone aggregate 20 mmnominal size as per standard design,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l13,27Providing and fixing square mouth SW gully trap grade 'A' complete with CI grating brick,27providing and fixing square mouth sw gully trap grade complete with ci grating brick,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l14,masonry chamber with water tight CI cover with frame of 300x300mm size (inside) theweight of cover to be not less than 4.50 kg and frame to be not less than 2.70 kg as perstandard design.,masonry chamber with water tight ci cover with frame of 300x300mm size inside theweight of cover to be not less than 4.50 kilogram and frame to be not less than 2.70 kilogram as perstandard design.,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l15,a) 100x100mm size P type with FPS 1st Class bricks. Each 80,100x100mm size type with fps 1st class bricks. each 80,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l18,"28Excavating trenches of required width for pipes, cables etc. including excavation for",28excavating trenches of required width for pipes cables etc. including excavation for,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l21,"a) Pipes, cables etc. exceeding 80mm dia but not exceeding 300mm dia. Metre 2840",pipes cables etc. exceeding 80mm diameter but not exceeding 300mm diameter. metre 2840,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l22,"b) Pipes, cables etc. exceeding 300mm dia but not exceeding 600mm dia. Metre 30",pipes cables etc. exceeding 300mm diameter but not exceeding 600mm diameter. metre 30,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l24,2class (light duty) RCC pipes with collars jointed,2class light duty reinforced cement concrete pipes with collars jointed,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l25,with stiff mixture of cement mortar in the proportion of 1:2 (1 cement : 2 fine sand),with stiff mixture of cement mortar in the proportion of 1 2 1 cement 2 fine sand,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l27,a) 150mm dia RCC pipe Metre 2165,150mm diameter reinforced cement concrete pipe metre 2165,Nepal_Polytechnic_Civil,97
Nepal_Polytechnic_Civil_p97_l28,b) 250mm dia RCC pipe Metre 385SUBHEAD-IV-(A) : DRAINAGE,250mm diameter reinforced cement concrete pipe metre 385subhead iv drainage,Nepal_Polytechnic_Civil,97
